id,name,applicability,color
tax_tag_ret_ir,Retención Impuesto a la Renta,taxes,
tax_tag_no_ret_ir,No sujeto a Retención Impuesto a la Renta,taxes,
tax_tag_vat,IVA diferente de 0%,taxes,
tax_tag_vat0,IVA 0,taxes,
tax_tag_novat,No objeto de IVA,taxes,
tax_tag_ret_vat_srv,Retención IVA Servicios,taxes,
tax_tag_ret_vat_b,Retención IVA Bienes,taxes,
tax_tag_ice,Impuesto a Consumos Especiales,taxes,
tax_tag_isd,Impuesto a la Salida de Capitales,taxes,
tax_tag_iad,Impuesto Aduanas,taxes,
tax_tag_isb,Contribución Super de Bancos,taxes,
tax_tag_comp,Compensaciones Tributarias,taxes,
